75773,96760,99051,104744,112954,120118,127041,135113
75778,93276,94802,99566,105283,111776,116471,121348
75780,59988,57981,59571,65356,68254,71604,74357
75782,88554,92896,98395,104294,110218,118898,116914
75783,89818,91966,96578,104462,111205,118713,127808
75784,85860,87593,89867,97251,104104,110493,117680
75785,72965,73758,76242,81317,87236,92082,96511
75789,116660,117153,118528,124839,131070,139218,145896
75790,98853,99875,104133,112383,118630,122686,126783
75791,128647,130077,132776,139085,146226,153915,155574
75801,73391,73779,76476,80678,85926,89002,91973
75803,81022,82079,85609,90078,95816,100493,104558
75831,100428,100931,106975,116548,123053,128690,133496
75833,111551,111622,115856,125349,135522,145520,150647
75835,64735,66167,69812,75456,80124,84818,89978
75838,110628,109630,116731,125862,132805,138030,146636
75839,80347,82154,86230,89977,95325,99442,102560
75840,90921,91316,93574,100075,107015,111643,117941
75844,74670,76715,80525,85989,92266,98549,105101
75845,76366,81457,86245,90458,94611,98417,103434
75846,106118,107033,113520,122849,132552,142595,154080
75847,79658,81076,86022,92640,101204,111668,118301
75848,84183,84540,87339,93274,102123,101874,106046
75849,61490,62371,65873,69006,70461,75398,80537
75850,99593,101923,106668,115310,129427,139023,147360
75851,79582,82318,87107,94315,101481,110709,118411
75852,146536,144293,150059,166157,181030,187957,196446
75853,93358,96610,104885,110925,117386,124494,131100
75855,100333,97672,102718,109493,114645,117528,124797
75856,126231,129007,133852,144678,153966,163798,174876
75858,75854,75892,79221,84422,94366,101171,104495
75859,177765,179326,186026,198589,212909,223105,237013
75860,71743,71650,73888,79063,84548,87683,92092
75861,81599,83876,89528,94326,100791,108234,114380
75862,74427,75788,78124,81198,86301,91205,97461
75865,108675,107979,121094,135797,134655,128600,140942
75901,76547,78774,82819,88844,95754,102383,109012
75904,81719,84369,88911,95776,103527,110766,117775
75925,70186,71131,74190,78212,81042,84037,89996
75926,86852,91303,98702,104170,109042,113015,121612
75928,49942,54641,55175,58530,60893,64982,71156
75929,69111,70003,72607,76922,81678,93992,103306
75930,57069,58422,60149,60419,63519,67546,72418
75931,98015,99960,105416,114537,124654,135900,142362
75932,93890,92675,95876,102345,109245,117079,124622
75933,59402,61325,63063,67777,72063,75856,83339
75935,76796,78216,80432,84197,89578,93529,97126
75936,68921,69642,72707,77972,83820,87838,96247
75937,90415,91095,95568,102011,109533,110658,118548
75938,74598,75763,80085,85127,91520,95741,100073
75939,72139,68270,68359,72013,77134,77577,80782
75941,68522,71003,74607,80403,86909,92949,98304
