78155, 67.21 %
78159, NaN
78160, -3.23 %
78161, NaN
78163, 96.72 %
78164, 26.13 %
78201, 41.18 %
78202, 73.91 %
78203, NaN
78204, 66.67 %
78205, 38.30 %
78207, 37.93 %
78208, NaN
78209, 49.27 %
78210, 154.24 %
78211, NaN
78212, 44.36 %
78213, 42.86 %
78214, NaN
78215, Infinity
78216, 43.87 %
78217, 22.45 %
78218, 14.43 %
78219, Infinity
78220, NaN
78221, 73.91 %
78222, 127.27 %
78223, 163.16 %
78224, Infinity
78225, NaN
78226, NaN
78227, Infinity
78228, 66.67 %
78229, 53.85 %
78230, 38.15 %
78231, 59.27 %
78232, 44.32 %
78233, 91.18 %
78234, 30.43 %
78235, NaN
78236, NaN
78237, NaN
78238, 47.06 %
78239, 42.86 %
78240, 22.52 %
78242, NaN
78244, 92.31 %
78245, 171.43 %
78247, 65.18 %
78248, 20.51 %
78249, 52.03 %
78250, 47.29 %
78251, 78.81 %
78252, Infinity
78253, 204.88 %
78254, 94.92 %
78255, 118.81 %
78256, 75.31 %
78257, 68.58 %
78258, 42.39 %
78259, 50.88 %
78260, 81.26 %
78261, 98.62 %
78263, 133.33 %
78264, 3.45 %
78266, 50.79 %
78330, NaN
78332, -27.37 %
78336, 100.00 %
78340, NaN
78343, Infinity
78344, NaN
78349, NaN
78353, NaN
78355, -100.00 %
78357, -39.39 %
78361, NaN
78362, 196.30 %
78363, 33.33 %
78368, 0.00 %
78369, NaN
78370, 21.21 %
78372, 20.00 %
78373, 78.22 %
78374, 48.31 %
78375, -4.76 %
78376, NaN
78377, -2.44 %
78379, 81.82 %
78380, 82.54 %
78382, 83.25 %
78383, 19.40 %
78384, NaN
78387, 15.38 %
78389, NaN
78390, 2.04 %
78391, NaN
78393, -100.00 %
78401, 44.44 %
78402, NaN
78404, 31.87 %
78405, NaN
78406, NaN
78407, NaN
78408, NaN
78409, NaN
78410, 35.46 %
78411, 33.12 %
78412, 33.14 %
78413, 35.14 %
78414, 83.71 %
78415, 124.49 %
78416, NaN
78417, NaN
78418, 85.19 %
78501, 10.79 %
78503, 32.98 %
78504, 28.51 %
78516, 60.00 %
78520, 9.59 %
78521, 22.34 %
78526, 65.64 %
78536, NaN
78537, 29.03 %
78538, NaN
78539, 57.26 %
78541, 80.56 %
78542, 126.42 %
78550, 10.34 %
78552, 45.10 %
78557, Infinity
78559, 36.36 %
78560, NaN
78563, NaN
78566, 81.82 %
78569, Infinity
78570, 25.00 %
78572, 31.58 %
78573, 33.72 %
78574, 38.46 %
78575, 32.74 %
78576, NaN
78577, 14.04 %
78578, 42.86 %
78580, 60.00 %
78582, 25.00 %
78583, Infinity
78584, NaN
78586, 13.92 %
78588, NaN
78589, 130.77 %
78591, NaN
78593, NaN
78595, NaN
78596, -14.57 %
78597, 66.67 %
78598, NaN
78602, 88.07 %
